across_within,measure,model,var,coef,pvalue,tool,pvalue_adjusted,significant,significant_robustness_firstsessiononly,significant_robustness_session1only,significant_robustness_session2only,significant_robustness_BMIweight1
across,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight + sex,avg_BMI,-0.142162150667826,0.8394085138327241,mocap,0.9115876603622988,False,False,False,False,
across,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight + sex,avg_weight,0.05001413538910898,0.8294301545450298,mocap,0.9082733251291581,False,False,False,False,
across,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight + sex,sex_Male,6.877716026834223,0.18443280049158825,mocap,0.44723041473553743,False,False,False,False,False
across,upper_leg_length,avg_mocap_upper_leg_length,const,-13.933056943116462,0.18614097401300492,mocap,0.44723041473553743,False,False,False,False,False
across,upper_leg_length,avg_mocap_upper_leg_length,avg_mocap_upper_leg_length,0.33555802709719107,0.17998432213770757,mocap,0.44723041473553743,False,False,False,False,False
across,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI,const,-8.380233458806346,0.5600444134453044,mocap,0.7572431505739328,False,False,False,False,False
across,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI,avg_mocap_upper_leg_length,0.3349043225750147,0.19763425065507076,mocap,0.44817845817842816,False,False,False,False,False
across,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI,avg_BMI,-0.2250001663437087,0.570039722682999,mocap,0.7600529635773319,False,False,False,False,
across,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI + avg_weight,const,24.331179513495904,0.37917002532123467,mocap,0.6306489333336189,False,False,False,False,False
across,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI + avg_weight,avg_mocap_upper_leg_length,-0.2916965359193976,0.5677278587078329,mocap,0.7600529635773319,False,False,False,False,False
across,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI + avg_weight,avg_BMI,-1.4803652753006276,0.1540741769866499,mocap,0.42023345431137005,False,False,False,False,
across,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI + avg_weight,avg_weight,0.3432487768698115,0.18634600613980726,mocap,0.44723041473553743,False,False,False,False,
across,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI + avg_weight + sex,const,32.40344888413163,0.1998007320031212,mocap,0.44896049357428386,False,False,False,False,False
across,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI + avg_weight + sex,avg_mocap_upper_leg_length,-0.23753439125985037,0.5915043792540693,mocap,0.7814369780971191,False,False,False,False,False
across,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI + avg_weight + sex,avg_BMI,-1.092412998601632,0.2315976244704331,mocap,0.4764293989106052,False,False,False,False,
across,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI + avg_weight + sex,avg_weight,0.015258283662445499,0.9556962777421701,mocap,0.9691567886962852,False,False,False,False,
across,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI + avg_weight + sex,sex_Male,6.93436006804071,0.09271974055336833,mocap,0.3296701886341985,False,False,False,False,False
across,biacromial_breadth,avg_mocap_biacromial_breadth,const,-7.9868654430805845,0.01799562717949472,mocap,0.14007407101876973,False,False,False,False,False
across,biacromial_breadth,avg_mocap_biacromial_breadth,avg_mocap_biacromial_breadth,1.0657392872673765,0.009269005925234147,mocap,0.09205081746439428,False,False,False,False,False
across,biacromial_breadth,avg_mocap_biacromial_breadth + avg_BMI,const,-5.586085126312222,0.45010600157330516,mocap,0.6850468981842007,False,False,False,False,False
across,biacromial_breadth,avg_mocap_biacromial_breadth + avg_BMI,avg_mocap_biacromial_breadth,1.0197895121419855,0.0217182795839315,mocap,0.14875520179552992,False,False,False,False,False
across,biacromial_breadth,avg_mocap_biacromial_breadth + avg_BMI,avg_BMI,-0.08204656366165171,0.7174204931636662,mocap,0.8467914017669502,False,False,False,False,
